evaluations raw_y
11 3141.0000000000
50 3359.0000000000
207 3418.0000000000
1874 3440.0000000000
4165 3609.0000000000
11053 3684.0000000000
18599 3766.0000000000
100000 2572.0000000000
evaluations raw_y
1 2588.0000000000
2 2853.0000000000
3 3067.0000000000
82 3212.0000000000
267 3231.0000000000
353 3459.0000000000
1043 3517.0000000000
1403 3701.0000000000
33700 3710.0000000000
85810 3718.0000000000
100000 2751.0000000000
evaluations raw_y
1 2710.0000000000
3 2948.0000000000
42 3174.0000000000
98 3207.0000000000
234 3252.0000000000
421 3305.0000000000
535 3322.0000000000
1030 3341.0000000000
1096 3621.0000000000
4558 3644.0000000000
45284 3774.0000000000
100000 2135.0000000000
evaluations raw_y
1 2868.0000000000
7 3087.0000000000
22 3305.0000000000
135 3314.0000000000
194 3321.0000000000
324 3459.0000000000
454 3469.0000000000
868 3682.0000000000
80269 3716.0000000000
100000 3124.0000000000
evaluations raw_y
1 3103.0000000000
57 3150.0000000000
131 3173.0000000000
138 3174.0000000000
181 3224.0000000000
216 3303.0000000000
610 3623.0000000000
32673 3859.0000000000
100000 2119.0000000000
evaluations raw_y
1 2432.0000000000
2 2757.0000000000
4 2872.0000000000
14 2890.0000000000
21 3039.0000000000
62 3113.0000000000
105 3180.0000000000
149 3414.0000000000
1230 3415.0000000000
2727 3445.0000000000
4277 3515.0000000000
8867 3557.0000000000
12256 3575.0000000000
12785 3714.0000000000
27850 3818.0000000000
79949 3913.0000000000
100000 1933.0000000000
evaluations raw_y
1 2806.0000000000
3 2809.0000000000
10 3005.0000000000
29 3120.0000000000
39 3416.0000000000
726 3685.0000000000
17135 3750.0000000000
100000 2372.0000000000
evaluations raw_y
1 2816.0000000000
11 2848.0000000000
22 2939.0000000000
25 2958.0000000000
33 3121.0000000000
147 3138.0000000000
216 3211.0000000000
269 3254.0000000000
409 3584.0000000000
3590 3586.0000000000
9598 3678.0000000000
13405 3813.0000000000
100000 2663.0000000000
evaluations raw_y
1 2667.0000000000
2 2739.0000000000
9 2989.0000000000
31 3034.0000000000
44 3586.0000000000
653 3598.0000000000
5439 3650.0000000000
8015 3686.0000000000
100000 2412.0000000000
evaluations raw_y
1 2565.0000000000
4 2617.0000000000
5 3010.0000000000
20 3084.0000000000
29 3162.0000000000
66 3182.0000000000
254 3276.0000000000
617 3277.0000000000
627 3294.0000000000
1089 3308.0000000000
1678 3314.0000000000
1973 3351.0000000000
2770 3407.0000000000
2994 3487.0000000000
7767 3525.0000000000
12218 3540.0000000000
13696 3570.0000000000
15308 3575.0000000000
16273 3585.0000000000
38750 3787.0000000000
100000 2386.0000000000
evaluations raw_y
1 2410.0000000000
2 2573.0000000000
3 2877.0000000000
5 3122.0000000000
17 3195.0000000000
84 3412.0000000000
2186 3488.0000000000
7198 3642.0000000000
48987 3651.0000000000
100000 2442.0000000000
evaluations raw_y
1 2383.0000000000
3 2558.0000000000
6 2674.0000000000
12 2820.0000000000
28 2893.0000000000
31 3103.0000000000
37 3283.0000000000
46 3291.0000000000
135 3339.0000000000
1371 3397.0000000000
6104 3418.0000000000
7251 3465.0000000000
9122 3471.0000000000
10914 3474.0000000000
13744 3726.0000000000
54135 3837.0000000000
100000 2629.0000000000
evaluations raw_y
1 2113.0000000000
2 2223.0000000000
3 2467.0000000000
4 2663.0000000000
7 2685.0000000000
10 2799.0000000000
12 2927.0000000000
15 2952.0000000000
24 3137.0000000000
221 3139.0000000000
239 3284.0000000000
503 3604.0000000000
15600 3732.0000000000
100000 2853.0000000000
evaluations raw_y
1 3017.0000000000
32 3041.0000000000
94 3050.0000000000
110 3124.0000000000
160 3160.0000000000
197 3213.0000000000
243 3249.0000000000
313 3365.0000000000
349 3584.0000000000
14494 3725.0000000000
100000 2267.0000000000
evaluations raw_y
1 2113.0000000000
2 2355.0000000000
3 2535.0000000000
6 2799.0000000000
15 2846.0000000000
30 2861.0000000000
40 3083.0000000000
47 3238.0000000000
175 3315.0000000000
388 3335.0000000000
412 3379.0000000000
504 3393.0000000000
1250 3632.0000000000
23350 3685.0000000000
46551 3729.0000000000
87341 3773.0000000000
100000 2641.0000000000
evaluations raw_y
1 2659.0000000000
2 2661.0000000000
7 2747.0000000000
10 2754.0000000000
13 2940.0000000000
14 3216.0000000000
155 3342.0000000000
316 3391.0000000000
634 3484.0000000000
2115 3504.0000000000
8351 3569.0000000000
20935 3585.0000000000
20967 3597.0000000000
23693 3607.0000000000
25238 3786.0000000000
100000 3046.0000000000
evaluations raw_y
1 2144.0000000000
3 2893.0000000000
23 3025.0000000000
34 3030.0000000000
47 3158.0000000000
51 3214.0000000000
103 3341.0000000000
382 3495.0000000000
1459 3518.0000000000
1473 3605.0000000000
4701 3665.0000000000
55505 3817.0000000000
100000 2831.0000000000
evaluations raw_y
1 2566.0000000000
2 2934.0000000000
10 3057.0000000000
89 3214.0000000000
360 3315.0000000000
433 3397.0000000000
1335 3425.0000000000
3686 3468.0000000000
4041 3471.0000000000
5978 3500.0000000000
7124 3566.0000000000
42710 3575.0000000000
48231 3694.0000000000
60713 3791.0000000000
85215 3864.0000000000
100000 2898.0000000000
evaluations raw_y
1 2875.0000000000
14 2971.0000000000
18 3107.0000000000
95 3116.0000000000
146 3150.0000000000
199 3162.0000000000
208 3182.0000000000
229 3439.0000000000
425 3498.0000000000
2094 3620.0000000000
4842 3677.0000000000
70962 3693.0000000000
100000 2243.0000000000
evaluations raw_y
1 2906.0000000000
20 2924.0000000000
34 2929.0000000000
55 2973.0000000000
99 3145.0000000000
107 3216.0000000000
237 3232.0000000000
273 3491.0000000000
8629 3504.0000000000
12701 3548.0000000000
21451 3554.0000000000
26863 3565.0000000000
29937 3593.0000000000
61746 3755.0000000000
100000 2938.0000000000
evaluations raw_y
1 2445.0000000000
2 2529.0000000000
4 2748.0000000000
6 2797.0000000000
14 2827.0000000000
19 3010.0000000000
32 3047.0000000000
40 3120.0000000000
78 3209.0000000000
227 3256.0000000000
318 3371.0000000000
452 3457.0000000000
1308 3512.0000000000
2692 3519.0000000000
8930 3559.0000000000
11721 3574.0000000000
15973 3684.0000000000
19369 3769.0000000000
100000 2262.0000000000
evaluations raw_y
1 2765.0000000000
3 2781.0000000000
4 2932.0000000000
5 2970.0000000000
10 3167.0000000000
